Response ID,Create Time,Last Submitted Time,Respondent Email,1. What type of home appliance do you own?,2. Brand of the appliance?,3. Where did you purchase it?,4. City / Region? (e.g: Hyderabad),5. Approximate purchase price (INR)?,6. How old is the appliance? (in years),7. Household size?,8. Daily usage hours?,9. Did you purchase an extended warranty?,10. Service calls made in the last 12 months?,11. Any prior repair history?,12. Have you ever filed a warranty claim for this appliance?,"13. If you filed a claim, what was the outcome?",14. Number of prior warranty claims made?,15. How satisfied are you with the appliance? (1-5 Scale)
ACYDBNhqltkWQrX6GvrE-lbbz8fdUfT8k4pJ21LC2DEK2SM1RoE3rBt23LpPFbwuRb9llF4,2026-09-17T11:27:03.325Z,2026-09-17T11:27:03.325900Z,,Air Conditioner,LG,Authorized Dealer,Coimbatore,30000,1-2 years,3-4 members,2-4h,No,0,No,No,Not Applicable,0,4
ACYDBNii1lKW26JfdhAeMpTX7HKRjhJbPYQoHj5VzrIf_Y4TC4UXq5Fls6YYg8DvDhHTVe8,2026-09-18T09:51:04.148Z,2026-09-18T09:51:04.148542Z,,Refrigerator,Whirlpool,Authorized Dealer,Thanjavur ,30000,Less than 1 year,3-4 members,More than 8h,Yes,0,No,No,Not Applicable,2,5
ACYDBNheSSWGng8ROBFR9qOtQPBmZlRRI_O2ow1ij6tvyjU3hGhXm9gfnW46pblOXBrpB_8,2026-09-17T10:07:10.524Z,2026-09-17T10:07:10.524083Z,,Washing Machine,LG,Authorized Dealer,Coimbatore ,30000,3-5 years,3-4 members,Less than 2h,No,1,Yes,No,Not Applicable,0,4
ACYDBNil0JXFPFVJANrjp6EmRqUGJuejNb5UF9a4wxdfYvn8gxkEYxVcBhtzt_pl82XJBrQ,2026-09-17T05:31:53.782Z,2026-09-17T05:31:53.782761Z,,Refrigerator,LG,Authorized Dealer,"Coimbatore , South",28000,More than 5 years,3-4 members,More than 8h,No,0,Yes,Yes,Approved,1,5
ACYDBNjfDMUxNvDHGSNHGYwvFROIk_tif_pWwegxZiDpTzWRHvMXhRdSGm-0TiKqAebIvJM,2026-09-18T16:11:08.320Z,2026-09-18T16:11:08.320916Z,,Refrigerator,Samsung,Authorized Dealer,Chennai ,22500,Less than 1 year,3-4 members,More than 8h,Yes,0,No,No,Approved,0,5
ACYDBNgq1mDCdxzm9RidM9X5kA8r7RAdb5BCDId0mA4RXnLY0pBZSO1cOn-1P8bOMY-H5v0,2026-09-17T10:42:29.160Z,2026-09-17T10:42:29.160025Z,,Refrigerator,Godrej,Online Marketplace (Amazon/Flipkart),Gujarat,25000,Less than 1 year,1-2 members,More than 8h,Yes,2,Yes,Yes,Approved,2,5
ACYDBNjfrtw1w2INnswd40zJ4S-nvuL44IIo4Clp-onZvqKWImLvFp7TWOQzRU4H_7oHaek,2026-09-17T06:16:29.273Z,2026-09-17T06:16:29.273056Z,,Refrigerator,LG,Authorized Dealer,Chennai,"50,000",More than 5 years,3-4 members,More than 8h,Yes,0,No,No,Not Applicable,0,5
ACYDBNgrx4K61aJ-GZtnXfJL0Dmzv3htHDYBXbIUxEJa_aftEtOBEJv39D2zzcnl3muOWLU,2026-09-17T10:34:55.792Z,2026-09-17T10:34:55.792270Z,,Washing Machine,LG,Authorized Dealer,Theni ,36000,More than 5 years,3-4 members,Less than 2h,No,0,No,No,Approved,0,5
ACYDBNjYUQtaXKALzgXCPJIm7i9zr5_qh8YhdkIKlcfAyZw0sXDSOf2P5sTPwZLO0P30va8,2026-09-17T13:27:11.211Z,2026-09-17T13:27:11.211980Z,,Air Conditioner,Samsung,Authorized Dealer,Trichy,38000,More than 5 years,3-4 members,2-4h,Yes,0,Yes,Yes,Partially Approved,1,5
ACYDBNgRg4CdKPZc_eh6_o1Tl4lSI6ymiJ8D2wNlapi-_6X14rwQqdM0STBbcOZcnyaAIyY,2026-09-17T07:20:28.898Z,2026-09-17T07:20:28.898227Z,,Refrigerator,LG,Authorized Dealer,Coimbatore,10000,1-2 years,1-2 members,More than 8h,Yes,1,No,No,Not Applicable,0,4
ACYDBNhVjSDM-dK6JT3DFXANjvROdPgzZ8AuaRpQxam2lBj3o9l0if0x99RsCnoJ2Navw5Q,2026-09-17T07:25:27.983Z,2026-09-17T07:25:27.983582Z,,Refrigerator,Whirlpool,Authorized Dealer,Kerala,35k,More than 5 years,3-4 members,More than 8h,No,0,No,No,Not Applicable,0,4
ACYDBNi4P2H86WM9khteFPOrp3I3KA2dG_rFLVYf7WthqCIQAnmxeVB0Q-xjg4XIdGnND4o,2026-09-17T10:22:31.942Z,2026-09-17T10:22:31.942004Z,,Refrigerator,Whirlpool,Authorized Dealer,Anantapur,20000,More than 5 years,3-4 members,More than 8h,Yes,0,Yes,No,Approved,1,5
ACYDBNj_A7U52-NE2-WZvPpoxZqgocoLwYjJoKrrWLdzmpIW0xiUjyCp7T6ZemJkYzZ3lUw,2026-09-18T16:14:11.794Z,2026-09-18T16:14:11.794371Z,,Refrigerator,LG,Authorized Dealer,mumbai,45000,More than 5 years,3-4 members,More than 8h,Yes,0,Yes,No,Not Applicable,0,5
ACYDBNiCgHH6HkfiyeaecrpmoBvWwUD5maNKeho4yIffvdcE0k445OsBC3Xp3U6cmvG1bH0,2026-09-17T10:30:44.419Z,2026-09-17T10:30:44.419529Z,,Washing Machine,Whirlpool,Authorized Dealer,Kerala,45000,More than 5 years,3-4 members,2-4h,Yes,3 or more,Yes,Yes,Approved,3 or more,5
